date,btc
2/19/2014,621.75
2/20/2014,561.2
2/21/2014,580
2/22/2014,608.7
2/23/2014,607.15175
2/24/2014,535.9999
2/25/2014,534.6
2/26/2014,584
2/27/2014,583.89
2/28/2014,554.25
3/1/2014,568.75
3/2/2014,565.37191
3/3/2014,680.98
3/4/2014,672
3/5/2014,669.61
3/6/2014,668
3/7/2014,631.01
3/8/2014,616.8001
3/9/2014,638.5
3/10/2014,626.9801
3/11/2014,634.01
3/12/2014,636.2296
3/13/2014,644.18
3/14/2014,627.98
3/15/2014,635.45
3/16/2014,633
3/17/2014,623.8
3/18/2014,615.5999
3/19/2014,609
3/20/2014,586.5551
3/21/2014,570.9999
3/22/2014,563
3/23/2014,558
3/24/2014,585.6587
3/25/2014,583.9899
3/26/2014,576.6
3/27/2014,474
3/28/2014,502.25
3/29/2014,492.4398
3/30/2014,460.9999
3/31/2014,456.9899
4/1/2014,479.9181
4/2/2014,437.2203
4/3/2014,447.9999
4/4/2014,447.0211
4/5/2014,463.99
4/6/2014,458.78
4/7/2014,446.58
4/8/2014,452.3849
4/9/2014,442.45
4/10/2014,364.2
4/11/2014,421
4/12/2014,423.3
4/13/2014,418
4/14/2014,460
4/15/2014,519
4/16/2014,531.25
4/17/2014,498.1
4/18/2014,480.044
4/19/2014,504.999999
4/20/2014,500.9501
4/21/2014,495.39
4/22/2014,489.2503
4/23/2014,491.78
4/24/2014,503.7
4/25/2014,464.33566
4/26/2014,460
4/27/2014,429.99
4/28/2014,441.39
4/29/2014,446.53
4/30/2014,449.0201
5/1/2014,459.4102
5/2/2014,452
5/3/2014,439.7398
5/4/2014,435.0413
5/5/2014,432.389
5/6/2014,429.7
5/7/2014,440.43
5/8/2014,438.5
5/9/2014,454
5/10/2014,456.09
5/11/2014,437.97
5/12/2014,440
5/13/2014,438.81
5/14/2014,445
5/15/2014,447.58
5/16/2014,448.6
5/17/2014,449.03
5/18/2014,447.4
5/19/2014,447
5/20/2014,491.35
5/21/2014,494.99
5/22/2014,528.85
5/23/2014,523.57
5/24/2014,528
5/25/2014,573.99
5/26/2014,586
5/27/2014,576.08
5/28/2014,578.77
5/29/2014,569.5
5/30/2014,621
5/31/2014,626.21
6/1/2014,626.42
6/2/2014,667.11
6/3/2014,674
6/4/2014,642
6/5/2014,660.9
6/6/2014,649.39
6/7/2014,657.21
6/8/2014,658.7
6/9/2014,650.3
6/10/2014,657
6/11/2014,637.6
6/12/2014,597.99
6/13/2014,605
6/14/2014,570.27
6/15/2014,593.89
6/16/2014,591.1
6/17/2014,613.4
6/18/2014,608.1
6/19/2014,597.3
6/20/2014,592
6/21/2014,595.5
6/22/2014,603.4
6/23/2014,591.57
6/24/2014,580.56
6/25/2014,566.75
6/26/2014,581.98
6/27/2014,604
6/28/2014,596.1
6/29/2014,601.95
6/30/2014,640.79
7/1/2014,641.34
7/2/2014,654.61
7/3/2014,644
7/4/2014,632.11
7/5/2014,631.88
7/6/2014,637.38
7/7/2014,621.45
7/8/2014,625.36
7/9/2014,624.47
7/10/2014,615.84
7/11/2014,636
7/12/2014,636.31
7/13/2014,629.49
7/14/2014,619.17
7/15/2014,620.8
7/16/2014,616.48
7/17/2014,622.51
7/18/2014,630.8
7/19/2014,629.3
7/20/2014,624
7/21/2014,620.01
